;;;;;;;;;;
ORDEN;NOMBRE REGIÓN;Código Región;NOMBRE PROVINCIA;Código Provincia;NOMBRE COMUNA;Código Comuna;Edad;Hombres;Mujeres;TOTAL
1903;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;CONCHALÍ;13104;50 a 54;4.313;4.659;8.972
1904;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;CONCHALÍ;13104;55 a 59;3.783;4.158;7.941
1905;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;CONCHALÍ;13104;60 a 64;2.766;3.222;5.988
1906;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;CONCHALÍ;13104;65 a 69;2.110;2.691;4.801
1907;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;CONCHALÍ;13104;70 a 74;1.857;2.393;4.250
1908;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;CONCHALÍ;13104;75 a 79;1.371;2.162;3.533
1909;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;CONCHALÍ;13104;80 a 84;926;1.595;2.521
1910;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;CONCHALÍ;13104;85 a 89;510;1.115;1.625
1911;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;CONCHALÍ;13104;90 a 94;163;389;552
1912;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;CONCHALÍ;13104;95 a 99;34;93;127
1913;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;CONCHALÍ;13104;100 o más;9;34;43
1914;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;EL BOSQUE;13105;Total Comunal;79.372;83.133;162.505
1915;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;EL BOSQUE;13105;0 a 4;5.382;5.291;10.673
1916;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;EL BOSQUE;13105;5 a 9;6.075;5.710;11.785
1917;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;EL BOSQUE;13105;10 a 14;5.466;5.093;10.559
1918;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;EL BOSQUE;13105;15 a 19;5.903;5.874;11.777
1919;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;EL BOSQUE;13105;20 a 24;6.798;6.505;13.303
1920;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;EL BOSQUE;13105;25 a 29;7.302;6.812;14.114
1921;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;EL BOSQUE;13105;30 a 34;5.604;5.529;11.133
1922;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;EL BOSQUE;13105;35 a 39;4.988;5.033;10.021
1923;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;EL BOSQUE;13105;40 a 44;4.871;4.941;9.812
1924;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;EL BOSQUE;13105;45 a 49;4.974;5.158;10.132
1925;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;EL BOSQUE;13105;50 a 54;5.312;5.711;11.023
1926;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;EL BOSQUE;13105;55 a 59;4.732;5.359;10.091
1927;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;EL BOSQUE;13105;60 a 64;3.768;4.444;8.212
1928;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;EL BOSQUE;13105;65 a 69;2.861;3.487;6.348
1929;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;EL BOSQUE;13105;70 a 74;2.304;3.048;5.352
1930;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;EL BOSQUE;13105;75 a 79;1.475;2.262;3.737
1931;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;EL BOSQUE;13105;80 a 84;917;1.445;2.362
1932;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;EL BOSQUE;13105;85 a 89;483;990;1.473
1933;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;EL BOSQUE;13105;90 a 94;117;335;452
1934;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;EL BOSQUE;13105;95 a 99;25;79;104
1935;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;EL BOSQUE;13105;100 o más;15;27;42
1936;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;ESTACIÓN CENTRAL;13106;Total Comunal;73.458;73.583;147.041
1937;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;ESTACIÓN CENTRAL;13106;0 a 4;4.365;4.381;8.746
1938;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;ESTACIÓN CENTRAL;13106;5 a 9;4.167;3.898;8.065
1939;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;ESTACIÓN CENTRAL;13106;10 a 14;3.601;3.607;7.208
1940;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;ESTACIÓN CENTRAL;13106;15 a 19;4.474;4.231;8.705
1941;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;ESTACIÓN CENTRAL;13106;20 a 24;7.153;6.604;13.757
1942;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;ESTACIÓN CENTRAL;13106;25 a 29;8.702;7.590;16.292
1943;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;ESTACIÓN CENTRAL;13106;30 a 34;7.036;5.994;13.030
1944;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;ESTACIÓN CENTRAL;13106;35 a 39;5.644;4.992;10.636
1945;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;ESTACIÓN CENTRAL;13106;40 a 44;5.091;4.470;9.561
1946;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;ESTACIÓN CENTRAL;13106;45 a 49;4.514;4.451;8.965
1947;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;ESTACIÓN CENTRAL;13106;50 a 54;4.651;5.025;9.676
1948;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;ESTACIÓN CENTRAL;13106;55 a 59;3.978;4.387;8.365
1949;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;ESTACIÓN CENTRAL;13106;60 a 64;3.117;3.514;6.631
1950;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;ESTACIÓN CENTRAL;13106;65 a 69;2.229;2.880;5.109
1951;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;ESTACIÓN CENTRAL;13106;70 a 74;1.888;2.599;4.487
1952;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;ESTACIÓN CENTRAL;13106;75 a 79;1.334;2.027;3.361
1953;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;ESTACIÓN CENTRAL;13106;80 a 84;823;1.401;2.224
1954;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;ESTACIÓN CENTRAL;13106;85 a 89;469;999;1.468
1955;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;ESTACIÓN CENTRAL;13106;90 a 94;172;395;567
1956;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;ESTACIÓN CENTRAL;13106;95 a 99;39;113;152
1957;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;ESTACIÓN CENTRAL;13106;100 o más;11;25;36
1958;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;HUECHURABA;13107;Total Comunal;48.122;50.549;98.671
1959;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;HUECHURABA;13107;0 a 4;3.710;3.679;7.389
1960;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;HUECHURABA;13107;5 a 9;4.143;3.916;8.059
1961;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;HUECHURABA;13107;10 a 14;3.884;3.659;7.543
1962;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;HUECHURABA;13107;15 a 19;3.754;3.788;7.542
1963;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;HUECHURABA;13107;20 a 24;3.798;3.711;7.509
1964;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;HUECHURABA;13107;25 a 29;3.506;3.453;6.959
1965;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;HUECHURABA;13107;30 a 34;3.117;3.373;6.490
1966;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;HUECHURABA;13107;35 a 39;3.512;3.731;7.243
1967;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;HUECHURABA;13107;40 a 44;3.922;4.350;8.272
1968;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;HUECHURABA;13107;45 a 49;3.862;3.996;7.858
1969;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;HUECHURABA;13107;50 a 54;3.222;3.248;6.470
1970;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;HUECHURABA;13107;55 a 59;2.212;2.296;4.508
1971;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;HUECHURABA;13107;60 a 64;1.542;1.874;3.416
1972;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;HUECHURABA;13107;65 a 69;1.367;1.794;3.161
1973;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;HUECHURABA;13107;70 a 74;1.231;1.573;2.804
1974;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;HUECHURABA;13107;75 a 79;742;990;1.732
1975;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;HUECHURABA;13107;80 a 84;370;629;999
1976;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;HUECHURABA;13107;85 a 89;177;323;500
1977;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;HUECHURABA;13107;90 a 94;34;126;160
1978;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;HUECHURABA;13107;95 a 99;7;27;34
1979;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;HUECHURABA;13107;100 o más;10;13;23
1980;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;INDEPENDENCIA;13108;Total Comunal;49.186;51.095;100.281
1981;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;INDEPENDENCIA;13108;0 a 4;3.334;3.273;6.607
1982;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;INDEPENDENCIA;13108;5 a 9;2.827;2.737;5.564
1983;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;INDEPENDENCIA;13108;10 a 14;2.410;2.253;4.663
1984;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;INDEPENDENCIA;13108;15 a 19;2.925;2.593;5.518
1985;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;INDEPENDENCIA;13108;20 a 24;4.865;4.810;9.675
1986;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;INDEPENDENCIA;13108;25 a 29;6.368;5.831;12.199
1987;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;INDEPENDENCIA;13108;30 a 34;5.254;4.710;9.964
1988;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;INDEPENDENCIA;13108;35 a 39;4.124;3.824;7.948
1989;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;INDEPENDENCIA;13108;40 a 44;3.411;3.502;6.913
1990;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;INDEPENDENCIA;13108;45 a 49;2.759;3.059;5.818
1991;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;INDEPENDENCIA;13108;50 a 54;2.638;2.881;5.519
1992;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;INDEPENDENCIA;13108;55 a 59;2.151;2.639;4.790
1993;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;INDEPENDENCIA;13108;60 a 64;1.847;2.251;4.098
1994;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;INDEPENDENCIA;13108;65 a 69;1.423;1.813;3.236
1995;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;INDEPENDENCIA;13108;70 a 74;1.202;1.619;2.821
1996;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;INDEPENDENCIA;13108;75 a 79;768;1.164;1.932
1997;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;INDEPENDENCIA;13108;80 a 84;455;944;1.399
1998;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;INDEPENDENCIA;13108;85 a 89;299;672;971
1999;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;INDEPENDENCIA;13108;90 a 94;92;371;463
2000;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;INDEPENDENCIA;13108;95 a 99;27;113;140
2001;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;INDEPENDENCIA;13108;100 o más;7;36;43
2002;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA CISTERNA;13109;Total Comunal;43.147;46.972;90.119
2003;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA CISTERNA;13109;0 a 4;2.762;2.620;5.382
2004;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA CISTERNA;13109;5 a 9;2.895;2.703;5.598
2005;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA CISTERNA;13109;10 a 14;2.451;2.598;5.049
2006;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA CISTERNA;13109;15 a 19;2.839;2.847;5.686
2007;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA CISTERNA;13109;20 a 24;3.650;3.399;7.049
2008;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA CISTERNA;13109;25 a 29;4.070;4.057;8.127
2009;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA CISTERNA;13109;30 a 34;3.672;3.564;7.236
2010;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA CISTERNA;13109;35 a 39;3.042;3.107;6.149
2011;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA CISTERNA;13109;40 a 44;2.811;2.907;5.718
2012;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA CISTERNA;13109;45 a 49;2.626;2.884;5.510
2013;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA CISTERNA;13109;50 a 54;2.652;2.978;5.630
2014;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA CISTERNA;13109;55 a 59;2.537;2.964;5.501
2015;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA CISTERNA;13109;60 a 64;2.034;2.505;4.539
2016;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA CISTERNA;13109;65 a 69;1.656;2.098;3.754
2017;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA CISTERNA;13109;70 a 74;1.341;1.780;3.121
2018;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA CISTERNA;13109;75 a 79;911;1.484;2.395
2019;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA CISTERNA;13109;80 a 84;660;1.109;1.769
2020;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA CISTERNA;13109;85 a 89;372;869;1.241
2021;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA CISTERNA;13109;90 a 94;131;371;502
2022;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA CISTERNA;13109;95 a 99;24;107;131
2023;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA CISTERNA;13109;100 o más;11;21;32
2024;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA FLORIDA;13110;Total Comunal;175.693;191.223;366.916
2025;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA FLORIDA;13110;0 a 4;11.413;10.849;22.262
2026;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA FLORIDA;13110;5 a 9;11.799;11.225;23.024
2027;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA FLORIDA;13110;10 a 14;11.215;10.790;22.005
2028;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA FLORIDA;13110;15 a 19;12.581;12.265;24.846
2029;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA FLORIDA;13110;20 a 24;14.666;14.305;28.971
2030;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA FLORIDA;13110;25 a 29;15.783;15.324;31.107
2031;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA FLORIDA;13110;30 a 34;13.483;13.631;27.114
2032;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA FLORIDA;13110;35 a 39;12.329;12.707;25.036
2033;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA FLORIDA;13110;40 a 44;11.965;12.765;24.730
2034;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA FLORIDA;13110;45 a 49;10.930;12.130;23.060
2035;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA FLORIDA;13110;50 a 54;10.738;12.739;23.477
2036;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA FLORIDA;13110;55 a 59;10.307;13.137;23.444
2037;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA FLORIDA;13110;60 a 64;9.107;11.643;20.750
2038;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA FLORIDA;13110;65 a 69;7.427;9.281;16.708
2039;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA FLORIDA;13110;70 a 74;5.571;7.307;12.878
2040;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA FLORIDA;13110;75 a 79;3.337;4.735;8.072
2041;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA FLORIDA;13110;80 a 84;1.714;3.182;4.896
2042;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA FLORIDA;13110;85 a 89;950;2.085;3.035
2043;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA FLORIDA;13110;90 a 94;276;847;1.123
2044;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA FLORIDA;13110;95 a 99;70;208;278
2045;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA FLORIDA;13110;100 o más;32;68;100
2046;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA GRANJA;13111;Total Comunal;57.025;59.546;116.571
2047;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA GRANJA;13111;0 a 4;3.892;3.754;7.646
2048;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA GRANJA;13111;5 a 9;3.934;3.688;7.622
2049;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA GRANJA;13111;10 a 14;3.757;3.532;7.289
2050;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA GRANJA;13111;15 a 19;4.196;4.139;8.335
2051;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA GRANJA;13111;20 a 24;4.981;4.785;9.766
2052;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA GRANJA;13111;25 a 29;5.019;4.830;9.849
2053;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA GRANJA;13111;30 a 34;4.158;3.930;8.088
2054;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA GRANJA;13111;35 a 39;3.555;3.394;6.949
2055;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA GRANJA;13111;40 a 44;3.332;3.368;6.700
2056;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA GRANJA;13111;45 a 49;3.286;3.358;6.644
2057;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA GRANJA;13111;50 a 54;3.830;4.405;8.235
2058;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA GRANJA;13111;55 a 59;4.003;4.655;8.658
2059;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA GRANJA;13111;60 a 64;3.249;3.631;6.880
2060;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA GRANJA;13111;65 a 69;2.338;2.525;4.863
2061;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA GRANJA;13111;70 a 74;1.481;1.847;3.328
2062;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA GRANJA;13111;75 a 79;859;1.331;2.190
2063;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA GRANJA;13111;80 a 84;609;1.163;1.772
2064;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA GRANJA;13111;85 a 89;411;834;1.245
2065;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA GRANJA;13111;90 a 94;109;297;406
2066;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA GRANJA;13111;95 a 99;17;53;70
2067;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA GRANJA;13111;100 o más;9;27;36
2068;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA PINTANA;13112;Total Comunal;87.044;90.291;177.335
2069;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA PINTANA;13112;0 a 4;7.198;6.783;13.981
2070;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA PINTANA;13112;5 a 9;7.200;7.146;14.346
2071;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA PINTANA;13112;10 a 14;6.672;6.679;13.351
2072;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA PINTANA;13112;15 a 19;6.876;7.054;13.930
2073;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA PINTANA;13112;20 a 24;7.662;7.687;15.349
2074;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA PINTANA;13112;25 a 29;7.551;7.376;14.927
2075;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA PINTANA;13112;30 a 34;6.263;6.325;12.588
2076;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA PINTANA;13112;35 a 39;5.857;5.706;11.563
2077;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA PINTANA;13112;40 a 44;5.642;5.539;11.181
2078;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA PINTANA;13112;45 a 49;5.036;5.179;10.215
2079;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA PINTANA;13112;50 a 54;5.093;5.712;10.805
2080;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA PINTANA;13112;55 a 59;4.822;5.447;10.269
2081;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA PINTANA;13112;60 a 64;4.026;4.596;8.622
2082;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA PINTANA;13112;65 a 69;3.143;3.410;6.553
2083;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA PINTANA;13112;70 a 74;1.971;2.516;4.487
2084;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA PINTANA;13112;75 a 79;1.164;1.593;2.757
2085;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA PINTANA;13112;80 a 84;526;848;1.374
2086;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA PINTANA;13112;85 a 89;257;483;740
2087;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA PINTANA;13112;90 a 94;69;145;214
2088;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA PINTANA;13112;95 a 99;11;55;66
2089;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA PINTANA;13112;100 o más;5;12;17
2090;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA REINA;13113;Total Comunal;43.599;49.188;92.787
2091;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA REINA;13113;0 a 4;2.636;2.514;5.150
2092;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA REINA;13113;5 a 9;2.902;2.786;5.688
2093;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA REINA;13113;10 a 14;2.957;2.764;5.721
2094;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA REINA;13113;15 a 19;3.521;3.196;6.717
2095;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA REINA;13113;20 a 24;3.624;3.601;7.225
2096;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA REINA;13113;25 a 29;3.383;3.245;6.628
2097;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA REINA;13113;30 a 34;2.601;2.761;5.362
2098;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA REINA;13113;35 a 39;2.888;3.289;6.177
2099;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA REINA;13113;40 a 44;3.062;3.546;6.608
2100;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA REINA;13113;45 a 49;2.844;3.462;6.306
2101;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA REINA;13113;50 a 54;2.916;3.566;6.482
2102;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA REINA;13113;55 a 59;2.573;3.354;5.927
2103;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA REINA;13113;60 a 64;2.132;2.840;4.972
2104;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA REINA;13113;65 a 69;1.812;2.347;4.159
2105;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA REINA;13113;70 a 74;1.439;1.888;3.327
2106;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA REINA;13113;75 a 79;1.010;1.480;2.490
2107;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA REINA;13113;80 a 84;648;1.091;1.739
2108;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA REINA;13113;85 a 89;439;834;1.273
2109;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA REINA;13113;90 a 94;162;437;599
2110;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA REINA;13113;95 a 99;39;155;194
2111;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LA REINA;13113;100 o más;11;32;43
2112;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LAS CONDES;13114;Total Comunal;135.917;158.921;294.838
2113;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LAS CONDES;13114;0 a 4;8.260;7.938;16.198
2114;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LAS CONDES;13114;5 a 9;7.502;7.183;14.685
2115;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LAS CONDES;13114;10 a 14;7.230;6.906;14.136
2116;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LAS CONDES;13114;15 a 19;9.195;9.012;18.207
2117;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LAS CONDES;13114;20 a 24;12.172;12.295;24.467
2118;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LAS CONDES;13114;25 a 29;12.858;13.142;26.000
2119;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LAS CONDES;13114;30 a 34;11.541;12.080;23.621
2120;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LAS CONDES;13114;35 a 39;9.954;11.122;21.076
2121;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LAS CONDES;13114;40 a 44;8.973;10.592;19.565
2122;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LAS CONDES;13114;45 a 49;8.225;10.286;18.511
2123;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LAS CONDES;13114;50 a 54;7.904;10.557;18.461
2124;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LAS CONDES;13114;55 a 59;7.714;10.392;18.106
2125;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LAS CONDES;13114;60 a 64;6.535;9.259;15.794
2126;METROPOLITANA DE SANTIAGO;13;SANTIAGO;131;LAS CONDES;13114;65 a 69;5.170;7.243;12.413
