;;;;;;;;;;
ORDEN;NOMBRE REGIÓN;Código Región;NOMBRE PROVINCIA;Código Provincia;NOMBRE COMUNA;Código Comuna;Edad;Hombres;Mujeres;TOTAL
57;ARICA Y PARINACOTA;15;ARICA;151;CAMARONES;15102;60 a 64;54;34;88
58;ARICA Y PARINACOTA;15;ARICA;151;CAMARONES;15102;65 a 69;39;42;81
59;ARICA Y PARINACOTA;15;ARICA;151;CAMARONES;15102;70 a 74;28;27;55
60;ARICA Y PARINACOTA;15;ARICA;151;CAMARONES;15102;75 a 79;20;11;31
61;ARICA Y PARINACOTA;15;ARICA;151;CAMARONES;15102;80 a 84;10;8;18
62;ARICA Y PARINACOTA;15;ARICA;151;CAMARONES;15102;85 a 89;5;7;12
63;ARICA Y PARINACOTA;15;ARICA;151;CAMARONES;15102;90 a 94;2;4;6
64;ARICA Y PARINACOTA;15;ARICA;151;CAMARONES;15102;95 a 99;0;2;2
65;ARICA Y PARINACOTA;15;ARICA;151;CAMARONES;15102;100 o más;1;0;1
66;ARICA Y PARINACOTA;15;PARINACOTA;152;PUTRE;15201;Total Comunal;2.054;711;2.765
67;ARICA Y PARINACOTA;15;PARINACOTA;152;PUTRE;15201;0 a 4;42;38;80
68;ARICA Y PARINACOTA;15;PARINACOTA;152;PUTRE;15201;5 a 9;44;44;88
69;ARICA Y PARINACOTA;15;PARINACOTA;152;PUTRE;15201;10 a 14;45;37;82
70;ARICA Y PARINACOTA;15;PARINACOTA;152;PUTRE;15201;15 a 19;465;27;492
71;ARICA Y PARINACOTA;15;PARINACOTA;152;PUTRE;15201;20 a 24;243;52;295
72;ARICA Y PARINACOTA;15;PARINACOTA;152;PUTRE;15201;25 a 29;191;59;250
73;ARICA Y PARINACOTA;15;PARINACOTA;152;PUTRE;15201;30 a 34;189;65;254
74;ARICA Y PARINACOTA;15;PARINACOTA;152;PUTRE;15201;35 a 39;189;54;243
75;ARICA Y PARINACOTA;15;PARINACOTA;152;PUTRE;15201;40 a 44;164;57;221
76;ARICA Y PARINACOTA;15;PARINACOTA;152;PUTRE;15201;45 a 49;126;45;171
77;ARICA Y PARINACOTA;15;PARINACOTA;152;PUTRE;15201;50 a 54;95;38;133
78;ARICA Y PARINACOTA;15;PARINACOTA;152;PUTRE;15201;55 a 59;91;39;130
79;ARICA Y PARINACOTA;15;PARINACOTA;152;PUTRE;15201;60 a 64;54;37;91
80;ARICA Y PARINACOTA;15;PARINACOTA;152;PUTRE;15201;65 a 69;35;29;64
81;ARICA Y PARINACOTA;15;PARINACOTA;152;PUTRE;15201;70 a 74;29;28;57
82;ARICA Y PARINACOTA;15;PARINACOTA;152;PUTRE;15201;75 a 79;26;28;54
83;ARICA Y PARINACOTA;15;PARINACOTA;152;PUTRE;15201;80 a 84;15;17;32
84;ARICA Y PARINACOTA;15;PARINACOTA;152;PUTRE;15201;85 a 89;9;12;21
85;ARICA Y PARINACOTA;15;PARINACOTA;152;PUTRE;15201;90 a 94;1;3;4
86;ARICA Y PARINACOTA;15;PARINACOTA;152;PUTRE;15201;95 a 99;1;1;2
87;ARICA Y PARINACOTA;15;PARINACOTA;152;PUTRE;15201;100 o más;0;1;1
88;ARICA Y PARINACOTA;15;PARINACOTA;152;GENERAL LAGOS;15202;Total Comunal;412;272;684
89;ARICA Y PARINACOTA;15;PARINACOTA;152;GENERAL LAGOS;15202;0 a 4;16;25;41
90;ARICA Y PARINACOTA;15;PARINACOTA;152;GENERAL LAGOS;15202;5 a 9;18;16;34
91;ARICA Y PARINACOTA;15;PARINACOTA;152;GENERAL LAGOS;15202;10 a 14;15;13;28
92;ARICA Y PARINACOTA;15;PARINACOTA;152;GENERAL LAGOS;15202;15 a 19;27;14;41
93;ARICA Y PARINACOTA;15;PARINACOTA;152;GENERAL LAGOS;15202;20 a 24;48;10;58
94;ARICA Y PARINACOTA;15;PARINACOTA;152;GENERAL LAGOS;15202;25 a 29;48;12;60
95;ARICA Y PARINACOTA;15;PARINACOTA;152;GENERAL LAGOS;15202;30 a 34;36;14;50
96;ARICA Y PARINACOTA;15;PARINACOTA;152;GENERAL LAGOS;15202;35 a 39;33;22;55
97;ARICA Y PARINACOTA;15;PARINACOTA;152;GENERAL LAGOS;15202;40 a 44;24;25;49
98;ARICA Y PARINACOTA;15;PARINACOTA;152;GENERAL LAGOS;15202;45 a 49;27;12;39
99;ARICA Y PARINACOTA;15;PARINACOTA;152;GENERAL LAGOS;15202;50 a 54;17;24;41
100;ARICA Y PARINACOTA;15;PARINACOTA;152;GENERAL LAGOS;15202;55 a 59;24;21;45
101;ARICA Y PARINACOTA;15;PARINACOTA;152;GENERAL LAGOS;15202;60 a 64;25;19;44
102;ARICA Y PARINACOTA;15;PARINACOTA;152;GENERAL LAGOS;15202;65 a 69;19;15;34
103;ARICA Y PARINACOTA;15;PARINACOTA;152;GENERAL LAGOS;15202;70 a 74;16;17;33
104;ARICA Y PARINACOTA;15;PARINACOTA;152;GENERAL LAGOS;15202;75 a 79;11;4;15
105;ARICA Y PARINACOTA;15;PARINACOTA;152;GENERAL LAGOS;15202;80 a 84;4;6;10
106;ARICA Y PARINACOTA;15;PARINACOTA;152;GENERAL LAGOS;15202;85 a 89;3;3;6
107;ARICA Y PARINACOTA;15;PARINACOTA;152;GENERAL LAGOS;15202;90 a 94;1;0;1
108;ARICA Y PARINACOTA;15;PARINACOTA;152;GENERAL LAGOS;15202;95 a 99;0;0;0
109;ARICA Y PARINACOTA;15;PARINACOTA;152;GENERAL LAGOS;15202;100 o más;0;0;0
110;TARAPACÁ;1;IQUIQUE;11;IQUIQUE;1101;Total Comunal;94.897;96.571;191.468
111;TARAPACÁ;1;IQUIQUE;11;IQUIQUE;1101;0 a 4;7.186;6.685;13.871
112;TARAPACÁ;1;IQUIQUE;11;IQUIQUE;1101;5 a 9;7.200;6.937;14.137
113;TARAPACÁ;1;IQUIQUE;11;IQUIQUE;1101;10 a 14;6.410;6.170;12.580
114;TARAPACÁ;1;IQUIQUE;11;IQUIQUE;1101;15 a 19;6.597;6.201;12.798
115;TARAPACÁ;1;IQUIQUE;11;IQUIQUE;1101;20 a 24;7.574;7.444;15.018
116;TARAPACÁ;1;IQUIQUE;11;IQUIQUE;1101;25 a 29;8.896;8.745;17.641
117;TARAPACÁ;1;IQUIQUE;11;IQUIQUE;1101;30 a 34;8.180;8.237;16.417
118;TARAPACÁ;1;IQUIQUE;11;IQUIQUE;1101;35 a 39;7.393;7.644;15.037
119;TARAPACÁ;1;IQUIQUE;11;IQUIQUE;1101;40 a 44;6.586;6.717;13.303
120;TARAPACÁ;1;IQUIQUE;11;IQUIQUE;1101;45 a 49;5.696;5.919;11.615
121;TARAPACÁ;1;IQUIQUE;11;IQUIQUE;1101;50 a 54;5.591;5.887;11.478
122;TARAPACÁ;1;IQUIQUE;11;IQUIQUE;1101;55 a 59;5.052;5.488;10.540
123;TARAPACÁ;1;IQUIQUE;11;IQUIQUE;1101;60 a 64;4.613;4.690;9.303
