CUT (Código Único Territorial),Nombre,Unnamed: 2,Provincia,Región,Superficie (km²),Población 2020,Densidad (hab./km²),IDH 2005,IDH 2005.1,Latitud,Longitud
13128,Renca,,Santiago,Metropolitana de Santiago,24,160.847,"6.993,3",0.709,Alto,"-33°23'52.8""","-70°43'22.8"""
13129,San Joaquín,,Santiago,Metropolitana de Santiago,9.7,103.485,"10.348,5",0.719,Alto,"-33°29'27.6""","-70°37'40.8"""
13130,San Miguel,,Santiago,Metropolitana de Santiago,10.0,133.059,"13.305,9",0.765,Alto,"-33°29'9""","-70°38'58"""
13131,San Ramón,,Santiago,Metropolitana de Santiago,7,86.51,"12.358,5",0.679,Medio,"-33°31'60""","-70°38'30"""
13132,Vitacura,,Santiago,Metropolitana de Santiago,28.3,96.774,"3.456,2",0.949,Muy alto,"-33°24'0""","-70°36'0"""
13201,Puente Alto,,Cordillera,Metropolitana de Santiago,88,645.909,"7.339,8",0.773,Alto,"-33°36'57.6""","-70°34'12"""
13202,Pirque,,Cordillera,Metropolitana de Santiago,445.3,30.433,68.3,0.807,Muy alto,"-33°38'60""","-70°33'50.4"""
13203,San José de Maipo,,Cordillera,Metropolitana de Santiago,"4.994,8",18.644,3.74,0.759,Alto,"-33°38'38.4""","-70°21'10.8"""
13301,Colina,,Chacabuco,Metropolitana de Santiago,971.2,180.353,1857,0.726,Alto,"-33°11'38.4""","-70°40'4.8"""
13302,Lampa,,Chacabuco,Metropolitana de Santiago,452,126.898,2807,0.697,Medio,"-33°17'9.6""","-70°52'40.8"""
13303,Til Til,,Chacabuco,Metropolitana de Santiago,653,21.477,32.8,0.709,Alto,"-33°5'6""","-70°55'30"""
13401,San Bernardo,,Maipo,Metropolitana de Santiago,155,334.836,"2.160,2",0.712,Alto,"-33°34'55.2""","-70°41'13.2"""
13402,Buin,,Maipo,Metropolitana de Santiago,214,109.641,5123,0.731,Alto,"-33°43'40.8""","-70°44'20.4"""
13403,Calera de Tango,,Maipo,Metropolitana de Santiago,73.3,28.525,390.7,0.792,Alto,"-33°37'40.8""","-70°47'6"""
13404,Paine,,Maipo,Metropolitana de Santiago,820,82.766,100.9,0.718,Alto,"-33°48'43.2""","-70°43'22.8"""
13501,Melipilla,,Melipilla,Metropolitana de Santiago,1.345,141.612,105.2,0.735,Alto,"-33°41'20.4""","-71°12'28.8"""
13502,Alhué,,Melipilla,Metropolitana de Santiago,845,7.405,8.76,0.7,Alto,"-34°1'58.8""","-71°5'60"""
13503,Curacaví,,Melipilla,Metropolitana de Santiago,693,36.43,52.5,0.71,Alto,"-33°23'56.4""","-71°8'13.2"""
13504,María Pinto,,Melipilla,Metropolitana de Santiago,393.5,14.926,37.8,0.698,Alto,"-33°30'54""","-71°7'8.4"""
13505,San Pedro,,Melipilla,Metropolitana de Santiago,788,11.953,15.1,0.701,Alto,"-33°53'60""","-71°28'1.2"""
13601,Talagante,,Talagante,Metropolitana de Santiago,126,81.838,649.5,0.749,Alto,"-33°40'1.2""","-70°55'51.6"""
13602,El Monte,,Talagante,Metropolitana de Santiago,118,40.014,339.1,0.688,Medio,"-33°41'2.4""","-71°1'1.2"""
13603,Isla de Maipo,,Talagante,Metropolitana de Santiago,189,40.171,212.5,0.724,Alto,"-33°45'14.4""","-70°53'9.6"""
13604,Padre Hurtado,,Talagante,Metropolitana de Santiago,80.8,74.188,915.9,0.728,Alto,"-33°34'33.6""","-70°47'60"""
13605,Peñaflor,,Talagante,Metropolitana de Santiago,69,101.058,"1.464,6",0.753,Alto,"-33°36'22.6""","-70°52'35.48"""
